,,2016,Censo,36520913,,
,,2016,Votantes,24279259,66.5,
,,2016,Nulos,225504,,
,,2016,V&aacute;lidos,24053755,,
,,2016,Blancos,179081,,
,,2016,Partido Popular (PP),7941236,33.0,137
,,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),5443846,22.6,85
,,2016,Unidos Podemos (PODEMOS-IU-EQUO),5087538,21.2,71
,,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),3141570,13.1,32
,,2016,Esquerra Republicana de Catalunya-Catalunya S&iacute; (ERC-CATS&Iacute;),632234,2.6,9
,,2016,Converg&egrave;ncia Democr&agrave;tica de Catalunya (CDC),483488,2.0,8
,,2016,Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV),287014,1.2,5
,,2016,Euskal Herria Bildu (EH Bildu),184713,0.8,2
,,2016,Coalici&oacute;n Canaria-Partido Nacionalista Canario (CCa-PNC),78253,0.3,1
,,2016,Partido Animalista Contra el Maltrato Animal (PACMA),286702,1.2,0
,,2016,Recortes Cero-Grupo Verde,51907,0.2,0
,,2016,Uni&oacute;n Progreso y Democracia (UPyD),50247,0.2,0
,,2016,Vox (VOX),47182,0.2,0
,,2016,N&oacute;s-Candidatura Galega (BNG-N&Oacute;S),45252,0.2,0
,,2016,Otros,113492,0.5,0
01,,2016,Censo,6508739,,
01,,2016,Votantes,4298738,66.0,
01,,2016,Nulos,45400,,
01,,2016,V&aacute;lidos,4253338,,
01,,2016,Blancos,37895,,
01,,2016,Partido Popular (PP),1426258,33.5,23
01,,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),1326838,31.2,20
01,,2016,Unidos Podemos (PODEMOS-IU-EQUO),792008,18.6,11
01,,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),578123,13.6,7
01,,2016,Partido Animalista Contra el Maltrato Animal (PACMA),52870,1.2,0
01,,2016,Uni&oacute;n Progreso y Democracia (UPyD),9932,0.2,0
01,,2016,Vox (VOX),8341,0.2,0
01,,2016,Recortes Cero-Grupo Verde,7317,0.2,0
01,,2016,Otros,13756,0.3,0
02,,2016,Censo,1016990,,
02,,2016,Votantes,711094,69.9,
02,,2016,Nulos,6153,,
